,scores
453,-2386.0
454,999134.0
455,999790.0
456,999380.0
457,998548.0
458,998677.0
459,-2810.0
460,998967.0
461,999226.0
462,999299.0
463,998551.0
464,999783.0
465,999034.0
466,998579.0
467,999581.0
468,-2604.0
469,999536.0
470,998376.0
471,998833.0
472,999755.0
473,998786.0
474,998957.0
475,999333.0
476,999016.0
477,999776.0
478,999128.0
479,999333.0
480,999385.0
481,998833.0
482,999076.0
483,999762.0
484,999755.0
485,999776.0
486,998810.0
487,998691.0
488,998739.0
489,998784.0
490,999695.0
491,999776.0
492,999417.0
493,999790.0
494,999727.0
495,-2762.0
496,998873.0
497,998607.0
498,999755.0
499,999500.0
500,997886.0
501,999783.0
502,998690.0
503,999266.0
504,998408.0
505,998572.0
506,998411.0
507,999368.0
508,998480.0
509,998971.0
510,999599.0
511,998474.0
512,999776.0
513,999324.0
514,999260.0
515,999162.0
516,998449.0
517,998211.0
518,999755.0
519,999470.0
520,998915.0
521,999321.0
522,999771.0
523,998929.0
524,998467.0
525,999254.0
526,998833.0
527,998439.0
528,999734.0
529,999358.0
530,999727.0
531,999219.0
532,999493.0
533,999616.0
534,-843.0
535,999734.0
536,999562.0
537,999786.0
538,999111.0
539,998848.0
540,999783.0
541,998810.0
542,999762.0
543,999494.0
544,999769.0
545,998535.0
546,999493.0
547,998815.0
548,999508.0
549,997886.0
550,999790.0
551,998028.0
552,999769.0
553,998294.0
554,999760.0
555,998838.0
556,999366.0
557,997924.0
558,999024.0
559,999748.0
560,998600.0
561,-1226.0
562,998138.0
563,999776.0
564,998794.0
565,998272.0
566,999763.0
567,999353.0
568,999491.0
569,998876.0
570,999456.0
571,999748.0
572,998015.0
573,998446.0
574,998808.0
575,999149.0
576,998614.0
577,998403.0
578,999718.0
579,998754.0
580,998943.0
581,999346.0
582,999453.0
583,997891.0
584,998544.0
585,998712.0
586,999020.0
587,999726.0
588,999771.0
589,998348.0
590,998852.0
591,999421.0
592,998757.0
593,998453.0
594,998810.0
595,999342.0
596,998579.0
597,998108.0
598,998964.0
599,998385.0
600,999460.0
601,998501.0
602,999013.0
603,999311.0
604,999742.0
605,999753.0
606,999769.0
607,999414.0
608,998985.0
609,999739.0
610,998767.0
611,998276.0
612,999221.0
613,998533.0
614,998866.0
615,998614.0
616,999041.0
617,999776.0
618,999783.0
619,999762.0
620,998617.0
621,-305.0
622,999741.0
623,998964.0
624,999762.0
625,998865.0
626,998901.0
627,999776.0
628,998845.0
629,999770.0
630,998261.0
631,999783.0
632,999444.0
633,999667.0
634,-1936.0
635,998390.0
636,999298.0
637,998539.0
638,998649.0
639,998484.0
640,998488.0
641,999394.0
642,999479.0
643,999765.0
644,999755.0
645,999130.0
646,998936.0
647,999158.0
648,999052.0
649,999426.0
650,999769.0
651,999769.0
652,999530.0
653,998474.0
654,998467.0
655,999094.0
656,999790.0
657,999769.0
658,999511.0
659,997827.0
660,999755.0
661,999032.0
662,999122.0
663,999418.0
664,998282.0
665,999769.0
666,999755.0
667,998718.0
668,999769.0
669,998705.0
670,999257.0
671,999734.0
672,999760.0
673,998978.0
674,998943.0
675,998495.0
676,998789.0
677,-2670.0
678,999769.0
679,998475.0
680,999768.0
681,999130.0
682,-2800.0
683,-510.0
684,998795.0
685,998439.0
686,998978.0
687,998649.0
688,998950.0
689,998922.0
690,-2800.0
691,999345.0
692,999598.0
693,998885.0
694,-2800.0
695,999608.0
696,998775.0
697,999066.0
698,997826.0
699,999221.0
700,999417.0
701,998397.0
702,998698.0
703,999747.0
704,999762.0
705,998001.0
706,999058.0
707,999783.0
708,998796.0
709,998327.0
710,998936.0
711,998558.0
712,998819.0
713,998609.0
714,999347.0
715,999741.0
716,998003.0
717,999714.0
718,998723.0
719,998880.0
720,998936.0
721,999004.0
722,998997.0
723,999734.0
724,999769.0
725,998942.0
726,998558.0
727,998565.0
728,998971.0
729,999751.0
730,998803.0
731,999748.0
732,-2746.0
733,998352.0
734,998541.0
735,999444.0
736,998432.0
737,998621.0
738,997972.0
739,998740.0
740,998684.0
741,999455.0
742,999781.0
743,999737.0
