,scores
456,-95.0
457,-83.0
458,-103.0
459,-81.0
460,-98.0
461,-75.0
462,-126.0
463,-77.0
464,-95.0
465,-122.0
466,-128.0
467,-84.0
468,-92.0
469,-110.0
470,-91.0
471,-86.0
472,-88.0
473,-96.0
474,-101.0
475,-97.0
476,-92.0
477,-99.0
478,-121.0
479,-86.0
480,-132.0
481,-89.0
482,-111.0
483,-186.0
484,-106.0
485,-90.0
486,-125.0
487,-120.0
488,-112.0
489,-106.0
490,-91.0
491,-87.0
492,-144.0
493,-108.0
494,-87.0
495,-101.0
496,-121.0
497,-197.0
498,-87.0
499,-100.0
500,-82.0
501,-109.0
502,-104.0
503,-128.0
504,-177.0
505,-64.0
506,-69.0
507,-91.0
508,-84.0
509,-77.0
510,-92.0
511,-105.0
512,-80.0
513,-98.0
514,-85.0
515,-95.0
516,-125.0
517,-97.0
518,-122.0
519,-87.0
520,-77.0
521,-205.0
522,-92.0
523,-94.0
524,-95.0
525,-99.0
526,-117.0
527,-82.0
528,-76.0
529,-293.0
530,-89.0
531,-106.0
532,-80.0
533,-87.0
534,-79.0
535,-87.0
536,-86.0
537,-106.0
538,-115.0
539,-88.0
540,-342.0
541,-94.0
542,-96.0
543,-76.0
544,-99.0
545,-83.0
546,-105.0
547,-91.0
548,-86.0
549,-79.0
550,-116.0
551,-91.0
552,-93.0
553,-126.0
554,-175.0
555,-75.0
556,-82.0
557,-97.0
558,-81.0
559,-82.0
560,-95.0
561,-78.0
562,-178.0
563,-122.0
564,-87.0
565,-86.0
566,-103.0
567,-93.0
568,-90.0
569,-91.0
570,-87.0
571,-94.0
572,-87.0
573,-94.0
574,-99.0
575,-81.0
576,-81.0
577,-267.0
578,-75.0
579,-87.0
580,-85.0
581,-76.0
582,-79.0
583,-99.0
584,-100.0
585,-78.0
586,-113.0
587,-86.0
588,-120.0
589,-99.0
590,-92.0
591,-80.0
592,-309.0
593,-100.0
594,-100.0
595,-157.0
596,-80.0
597,-95.0
598,-80.0
599,-115.0
600,-71.0
601,-88.0
602,-93.0
603,-138.0
604,-98.0
605,-92.0
606,-128.0
